"","Company","SeasonEpisode","Number of Presenters","Eth1","Eth2","Eth3","Eth4","Eth5","Male1","Male2","Male3","Male4","Female1","Female2","Female3","Female4","Novelties","Health / Wellness","Food and Beverage","Business Services","Lifestyle / Home","Software / Tech","Children / Education","Automotive","Fashion / Beauty","Media / Entertainment","Fitness / Sports / Outdoors","Pet Products","Travel","Green/CleanTech","Uncertain / Other","MalePresenter","FemalePresenter","MixedGenderPresenters","CompanyState","AmountRequested","EquityRequested","ImpliedValuationRequested","BarbaraCorcoran","MarkCuban","LoriGreiner","RobertHerjavec","DaymondJohn","KevinOLeary","KevinHarrington","Guest"
"1","IonicEar","Shark.Tank.S01E01",1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"MN",1e+06,0.15,6666667,1,0,0,1,1,1,1,0
"2","Lifebelt","Shark.Tank.S01E02",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,"NV",5e+05,0.1,5e+06,1,0,0,1,1,1,1,0
"3","VoyageAirGuitar","Shark.Tank.S01E03",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"CA",5e+05,0.05,1e+07,1,0,0,1,1,1,1,0
"4","50StateCapitalsin50Minutes","Shark.Tank.S01E03",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,"TX",155000,0.1,1550000,1,0,0,1,1,1,1,0
"5","CoffeeBrandGifts","Shark.Tank.S01E04",1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"OH",3e+05,0.4,750000,1,0,0,1,1,1,1,0
"6","GraffitiRemovalServices","Shark.Tank.S01E04",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"OR",350000,0.15,2333333,1,0,0,1,1,1,1,0
"7","GoodGriefCelebrations","Shark.Tank.S01E05",1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"PA",50000,0.25,2e+05,1,0,0,1,1,1,1,0
"8","CreativeBlok","Shark.Tank.S01E05",1,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"CA",50000,0.3,166667,1,0,0,1,1,1,1,0
"9","CharcoalUnderwear","Shark.Tank.S01E06",2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,"CO",55000,0.25,220000,1,0,0,1,1,1,1,0
"10","Kalyx","Shark.Tank.S01E06",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,"NC",125000,0.2,625000,1,0,0,1,1,1,1,0
"11","PorkBarrelBBQ","Shark.Tank.S01E06",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"VA",50000,0.1,5e+05,1,0,0,1,1,1,1,0
"12","WashedUpHollywood","Shark.Tank.S01E08",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,"CA",5e+05,0.25,2e+06,1,0,0,1,1,1,1,0
"13","Notehall","Shark.Tank.S01E08",2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",90000,0.1,9e+05,1,0,0,1,1,1,1,0
"14","TreasureChestPets","Shark.Tank.S01E08",1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,"CA",150000,0.2,750000,1,0,0,1,1,1,1,0
"15","Cornucopia","Shark.Tank.S01E09",2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,"NY",3e+05,0.15,2e+06,1,0,0,1,1,1,1,0
"16","ChillSoda","Shark.Tank.S01E09",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"CA",50000,0.1,5e+05,1,0,0,1,1,1,1,0
"17","JumpForward","Shark.Tank.S01E10",2,2,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,"IL",150000,0.1,1500000,1,0,0,1,1,1,1,0
"18","Mr.Poncho","Shark.Tank.S01E10",2,3,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,"NY",50000,0.25,2e+05,1,0,0,1,1,1,1,0
"19","WeeCanShop","Shark.Tank.S01E12",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,"NJ",2e+05,0.3,666667,1,0,0,1,1,1,1,0
"20","Podillow","Shark.Tank.S01E12",2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"CA",250000,0.33,757576,1,0,0,1,1,1,1,0
"21","LegalGrind","Shark.Tank.S01E13",2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,"CA",2e+05,0.15,1333333,1,0,0,1,1,1,1,0
"22","Qubits","Shark.Tank.S01E14",1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"FL",90000,0.51,176471,1,0,0,1,1,1,1,0
"23","SendABall","Shark.Tank.S01E14",2,4,4,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,"IL",86000,0.2,430000,1,0,0,1,1,1,1,0
