,Company,ReceiveOffer,RejectOffer,Deal_Yes,Deal_No,Number of Presenters,Eth1,Eth2,Eth3,Eth4,Eth5,Male1,Male2,Male3,Male4,Female1,Female2,Female3,Female4,Novelties,Health_Wellness,Food_Beverage,Business_Services,Lifestyle,Software_Tech,Education,Automotive,Fashion_Beauty,Entertainment,Fitness,Pet_Products,Travel,CleanTech,other,MalePresenter,FemalePresenter,MixedGenderPresenters,CompanyState,AmountRequested,EquityRequested,ImpliedValuationRequested,BarbaraCorcoran,MarkCuban,LoriGreiner,RobertHerjavec,DaymondJohn,KevinOLeary,KevinHarrington,Guest
1,Wispots,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NC,1200000,0.1,1.20E+07,1,0,0,1,1,1,1,0
2,CollegeFoxesPackingBoxes,1,1,0,1,2,4,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FL,250000,0.25,1.00E+06,1,0,0,1,1,1,1,0
3,Mr.TodsPieFactory,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,NJ,460000,0.1,4600000,1,0,0,1,1,1,1,0
4,AvatheElephant,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,GA,50000,0.15,333333,1,0,0,1,1,1,1,0
5,AttachNoted,0,0,0,1,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CA,1.00E+05,0.2,5.00E+05,1,0,0,1,1,1,1,0
6,CrookedJaw,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,CA,2.00E+05,0.2,1.00E+06,1,0,0,1,1,1,1,0
7,StressFreeKids,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,GA,250000,0.2,1250000,1,0,0,1,1,1,1,0
8,KwytzaChopstickArt,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,OR,1.00E+05,0.1,1.00E+06,1,0,0,1,1,1,1,0
9,Turbobaster,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,CA,35000,0.35,1.00E+05,1,0,0,1,1,1,1,0
10,SoulsCalling,0,0,0,1,1,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,TX,150000,0.25,6.00E+05,1,0,0,1,1,1,1,0
11,GiftCardRescue,1,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,MD,150000,0.3,5.00E+05,1,0,0,1,1,1,1,0
12,Coverplay,1,0,1,0,2,2,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,CA,350000,0.15,2333333,1,0,0,1,1,1,1,0
13,BodyJac,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,IA,180000,0.2,9.00E+05,1,0,0,1,1,1,1,0
14,MyTherapyJournal,1,0,1,0,2,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,FL,80000,0.2,4.00E+05,1,0,0,1,1,1,1,0
15,GranolaGourmet,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CA,175000,0.25,7.00E+05,1,0,0,1,1,1,1,0
16,TheFizz,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CA,150000,0.25,6.00E+05,1,0,0,1,1,1,1,0
17,ElementBars,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,IL,150000,0.15,1.00E+06,1,0,0,1,1,1,1,0
18,GrillCharms,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,SC,50000,0.25,2.00E+05,1,0,0,1,1,1,1,0
19,TheFunHouseProject,0,0,0,1,2,2,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,NY,3.00E+05,0.2,1500000,1,0,0,1,1,1,1,0
20,BoogieBoxFitness,0,0,0,1,2,4,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,CA,7.00E+05,0.7,1.00E+06,1,0,0,1,1,1,1,0
21,Soy-YerDough,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,IN,125000,0.25,5.00E+05,1,0,0,1,1,1,1,0
22,Throx,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,CA,50000,0.25,2.00E+05,1,0,0,1,1,1,1,0
23,GaylaBentleyFashion,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,TX,250000,0.2,1250000,1,0,0,1,1,1,1,0
24,VirtuSphere,0,0,0,1,2,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,NY,1500000,0.1,1.50E+07,1,0,0,1,1,1,1,0
25,Uroclub,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,FL,25000,0.51,49020,1,0,0,1,1,1,1,0
26,TheBobblePlace,1,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,FL,75000,0.18,416667,1,0,0,1,1,1,1,0
27,InkFlip,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,TN,150000,0.2,750000,1,0,0,1,1,1,1,0
28,TheChefinBlack,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,CA,50000,0.1,5.00E+05,1,0,0,1,1,1,1,0
29,RompNRoll,1,1,0,1,2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,VA,3.00E+05,0.1,3.00E+06,1,0,0,1,1,1,1,0
30,TwisterCleaner,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,GA,85000,0.4,212500,1,0,0,1,1,1,1,0
31,HellsBellsHelmets,1,0,1,0,2,2,2,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,PA,5.00E+05,0.2,2500000,1,0,0,1,1,1,1,0
32,TheFactionist,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,NY,30000,0.2,150000,1,0,0,1,1,1,1,0
33,GreaseMonkeyWipes,1,0,1,0,2,2,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,TX,40000,0.4,1.00E+05,1,0,0,1,1,1,1,0
34,CaptainIceCream,0,0,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,CA,48000,0.25,192000,1,0,0,1,1,1,1,0
35,Caffeindicator,1,0,1,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,PA,2.00E+05,0.25,8.00E+05,1,0,0,1,1,1,1,0
36,LipstixRemix,1,0,1,0,1,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,TN,105000,0.3,350000,1,0,0,1,1,1,1,0
37,LlamaBrew,0,0,0,1,2,2,4,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,CA,125000,0.1,1250000,1,0,0,1,1,1,1,0
38,Nubrella,1,0,1,0,1,4,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,MA,2.00E+05,0.25,8.00E+05,1,0,0,1,1,1,1,0
39,PillarsofSlippers,0,0,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,IL,150000,0.15,1.00E+06,1,0,0,1,1,1,1,0
40,TippiToes,1,0,1,0,2,2,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,TX,30000,0.05,6.00E+05,1,1,0,1,1,1,0,0
41,CopadiVino,1,1,0,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,OR,3.00E+05,0.05,6.00E+06,1,1,0,1,1,1,0,0
